,,1st stage variables,,,2nd stage variables (1 scenario),,,Total variables,,,,,Sparsity,,,,File size,,
Problem,Instance,cont,bin,int,cont,bin,int,cont,bin,int,rows,cols,block A,block T,block W,Total,.cor,.tim,.sto
DCAP,DCAP_2_3_3_200,,,,,,,,,,,,,,,,,,
,DCAP_2_3_3_300,,,,,,,,,,,,,,,,,,
,DCAP_2_3_3_500,,,,,,,,,,,,,,,,,,
,DCAP_2_3_3_10000,,,,,,,,,,,,,,,,,,
,DCAP_2_4_3_200,,,,,,,,,,,,,,,,,,
,DCAP_2_4_3_300,,,,,,,,,,,,,,,,,,
,DCAP_2_4_3_500,,,,,,,,,,,,,,,,,,
,DCAP_2_4_3_10000,,,,,,,,,,,,,,,,,,
,DCAP_3_3_2_200,,,,,,,,,,,,,,,,,,
,DCAP_3_3_2_300,,,,,,,,,,,,,,,,,,
,DCAP_3_3_2_500,,,,,,,,,,,,,,,,,,
,DCAP_3_3_2_10000,,,,,,,,,,,,,,,,,,
,DCAP_3_4_2_200,,,,,,,,,,,,,,,,,,
,DCAP_3_4_2_300,,,,,,,,,,,,,,,,,,
,DCAP_3_4_2_500,,,,,,,,,,,,,,,,,,
,DCAP_3_4_2_10000,,,,,,,,,,,,,,,,,,
