instance,EF,WS,REVPI
AIRLIFT_200,283549.13,263422.50722880004,7.0981
AIRLIFT_300,283781.77,263667.1890118333,7.088
AIRLIFT_500,283612.46,263743.32465371996,7.0057
AIRLIFT_1000,284948.96,264558.7939120408,7.1557
CARGO_10,773.66,694.7798021000001,10.1957
CARGO_50,798.99,690.5140135382,13.5766
CARGO_100,819.27,688.2676737372999,15.9901
CHEM_200,-103.69,-22914.014643607494,21998.5771
CHEM_300,-68.67,-22744.79183434699,33021.8754
CHEM_500,-54.29,-23334.566438015387,42881.3344
CHEM_1000,-28.44,-23293.56315651816,81804.2305
DCAP_2_3_3_200,1670.65,1628.7719188393498,2.5067
DCAP_2_3_3_300,1629.26,1586.836979970768,2.6038
DCAP_2_3_3_500,1667.27,1624.5947514397815,2.5596
DCAP_2_4_3_200,2597.19,2548.4030175955013,1.8785
DCAP_2_4_3_300,2513.51,2463.8180192550003,1.977
DCAP_2_4_3_500,2574.54,2523.288741257802,1.9907
DCAP_3_3_2_200,1420.95,1322.82737840215,6.9054
DCAP_3_3_2_300,1423.33,1325.6353408924326,6.8638
DCAP_3_3_2_500,1465.63,1367.3673567461806,6.7045
DCAP_3_4_2_200,1985.41,1933.0243219797485,2.6385
DCAP_3_4_2_300,1923.84,1867.5461980292655,2.9261
DCAP_3_4_2_500,1901.16,1847.2931769795218,2.8334
MPTSPs_D0_50_100,2071.34,1993.2114437159992,3.7719
MPTSPs_D1_50_100,2284.04,2091.415018552,8.4335
MPTSPs_D2_50_100,2968.05,2672.8452570250015,9.9461
MPTSPs_D3_50_100,3075.65,2769.3649699229995,9.9584
PHONE_200,124.82,124.82,0.0
PHONE_300,124.46,124.47666666666667,0.0134
PHONE_500,124.89,124.886,0.0032
PHONE_1000,125.13,125.129,0.0008
SDCP_5_10_FallWD_10,32692100,3.13501814952e7,4.1047
SDCP_5_10_FallWE_10,38162700,3.61659068779e7,5.2323
SDCP_5_10_SpringWD_10,29862600,3.0778290133999996e7,3.0663
SDCP_5_10_SpringWE_10,40646200,4.1675023302200004e7,2.5312
SDCP_5_10_SummerWD_10,31373600,2.62504204671e7,16.3296
SDCP_5_10_SummerWE_10,37011600,3.26348433476e7,11.8254
SDCP_5_10_WinterWD_10,31047200,2.97048895463e7,4.3235
SDCP_5_10_WinterWE_10,2205120,1.915293981906e6,13.1433
SIZES_3,136932,120845.85142333333,11.7475
SIZES_5,166365,123513.16256,25.7577
SIZES_10,249445,144873.13016,41.9218
SMKP_120_20,9688.75,9674.2,0.1502
SMKP_120_40,9677.18,9660.1,0.1765
SMKP_120_60,9671.68,9654.933333333332,0.1732
SMKP_120_80,9692.27,9676.8625,0.159
SMKP_120_100,9688.88,9672.11,0.1731
SSLP_5_25_50,-127.7,-140.12,9.7259
SSLP_5_25_100,-125.88,-140.81,11.8605
SSLP_5_50_50,-323.4,-342.46,5.8936
SSLP_5_50_100,-329.89,-346.44,5.0168
SSLP_10_50_50,-354.7,-373.5,5.3003
SSLP_10_50_100,-331.25,-353.32,6.6626
SSLP_10_50_500,-345.54,-365.478,5.7701
SSLP_10_50_1000,-350.82,-370.989,5.7491
SSLP_10_50_2000,-349.71,-370.396,5.9152
SSLP_10_45_5,-271.2,-290.0,6.9322
SSLP_10_45_10,-289.6,-303.6,4.8343
SSLP_10_45_15,-313.14,-328.46666666666664,4.8945
SUC_FallWD_10,2473720,2.43285500394e6,1.652
SUC_FallWE_10,1562830,1.54715462867e6,1.003
SUC_SpringWD_10,1633280,1.5990927170100003e6,2.0932
SUC_SpringWE_10,1075950,1.0351227875909999e6,3.7945
SUC_SummerWD_10,4.68217135e6,4.63689888877e6,0.9669
SUC_SummerWE_10,3.12712114e6,3.0903132171899998e6,1.1771
SUC_WinterWD_10,1797560,1.7428622325199998e6,3.0429
SUC_WinterWE_10,1262630,1.200928008059e6,4.8868
